Date,Open,High,Low,Close,Volume,Adj Close
2011-06-01,27.01499,27.06997,26.67996,27.00998,1787100,33.43741
2011-06-02,26.66502,26.76997,26.37504,26.51002,1147500,32.81848
2011-06-03,26.58001,26.795,26.27502,26.34001,1695000,32.608
2011-06-06,25.99997,26.23998,25.8,26.20503,1994300,32.4409
2011-06-07,26.18,26.64,26.13003,26.29997,1592600,32.55843
2011-06-08,26.38497,26.39498,25.93999,26.01999,1440100,32.21184
2011-06-09,25.90003,26.22497,25.78499,26.22497,1305100,32.46559
2011-06-10,26.05503,26.14504,25.40499,25.59503,1613900,31.68575
2011-06-13,25.57001,25.87,25.42001,25.46498,889100,31.52475
2011-06-14,25.69998,26.28503,25.58502,26.15998,1759500,32.38513
2011-06-15,26.04001,26.1,25.27001,25.59996,1810800,31.69185
2011-06-16,25.37997,25.45997,25.025,25.28002,1708600,31.29578
2011-06-17,25.025,25.335,24.67996,24.91004,2684300,30.83775
2011-06-20,24.52997,24.59503,24.16999,24.43002,1945200,30.24351
2011-06-21,24.45004,24.81001,24.35002,24.715,1594300,30.5963
2011-06-22,24.75003,24.75003,24.35502,24.68997,1485000,30.56532
2011-06-23,24.52003,24.62498,24.1,24.50001,2453000,30.33015
2011-06-24,24.89002,24.92998,24.45997,24.68997,2220000,30.56532
2011-06-27,24.84998,25.54999,24.75496,25.22997,2245500,31.23382
2011-06-29,25.21003,25.59996,25.13003,25.45997,2609100,31.51855
2011-06-30,25.44496,25.57501,25.24999,25.39999,2701200,31.44429
2011-07-01,25.47499,26.03,25.37004,25.98003,1631000,32.16236
2011-07-04,25.98496,26.39999,25.97502,26.34001,1056800,32.608
